Ticker,TotalTime,logDate,logTime,priceOpen,priceHigh,priceLow,priceClose,amount
BTCUSDT,201808300100,20180830,100,6975.05,7006.01,6922.09,6993.04,3356.983618
BTCUSDT,201808300200,20180830,200,6993.04,7027.99,6991.42,7020.27,2031.184903
BTCUSDT,201808300300,20180830,300,7020.26,7020.27,6976.0,7008.57,2123.728215
BTCUSDT,201808300400,20180830,400,7008.56,7021.0,6989.84,6999.99,1616.394497
BTCUSDT,201808300500,20180830,500,6999.99,7059.0,6989.6,7043.44,1672.432192
BTCUSDT,201808300600,20180830,600,7044.84,7070.0,7029.08,7050.0,1331.295609
BTCUSDT,201808300700,20180830,700,7049.8,7066.95,7031.0,7057.29,1047.616408
BTCUSDT,201808300800,20180830,800,7057.3,7060.75,7020.0,7031.22,1261.560966
BTCUSDT,201808300900,20180830,900,7033.21,7063.63,7029.11,7050.82,692.568486
BTCUSDT,201808301000,20180830,1000,7050.86,7056.0,7031.11,7047.2,1174.201081
BTCUSDT,201808301100,20180830,1100,7047.2,7052.84,6956.24,7003.92,2280.614872
BTCUSDT,201808301200,20180830,1200,7003.0,7023.0,6984.22,7022.18,844.065804
BTCUSDT,201808301300,20180830,1300,7022.18,7024.0,6985.0,7016.94,1294.382957
BTCUSDT,201808301400,20180830,1400,7016.94,7019.01,6960.0,6966.5,1857.898192
BTCUSDT,201808301500,20180830,1500,6966.5,6997.01,6930.0,6983.61,1547.51114
BTCUSDT,201808301600,20180830,1600,6983.61,7006.0,6964.1,6972.12,1511.168505
BTCUSDT,201808301700,20180830,1700,6972.16,6985.08,6930.0,6940.21,1977.981171
BTCUSDT,201808301800,20180830,1800,6941.42,6959.66,6888.0,6920.03,2861.432439
BTCUSDT,201808301900,20180830,1900,6920.03,6935.0,6897.0,6934.44,1718.19089
BTCUSDT,201808302000,20180830,2000,6931.11,6934.5,6839.5,6870.14,2691.837306
BTCUSDT,201808302100,20180830,2100,6873.99,6905.47,6826.4,6831.49,2439.522121
BTCUSDT,201808302200,20180830,2200,6830.48,6864.8,6811.0,6846.0,2516.602681
BTCUSDT,201808302300,20180830,2300,6845.23,6898.57,6833.0,6870.0,2388.420275
